Operation_Type,Workpiece_Material,Material_Hardness_HB,Tool_Diameter_mm,Number_of_Flutes,Tool_Coating,Tool_Wear_VB_mm,Rake_Angle_deg,Cutting_Speed_vc_mpm,Spindle_Speed_RPM,Feed_Rate_mm_rev,Axial_Depth_ap_mm,Radial_Depth_ae_mm,Feed_Speed_vf_mmpm,Coolant_Condition,Coolant_Flow_Rate_Lpm,Material_Removal_Rate_cm3_min,Cutting_Temperature_C,Cutting_Force_Fc_N,Spindle_Power_kW,Feed_Power_kW,Auxiliary_Power_kW,Cutting_Power_kW,Power_Consumption_kW,Specific_Energy_J_mm3,Carbon_Emission_Rate_kgCO2e_hr,Specific_Carbon_Emission_gCO2e_cm3
CNC Milling,Al 6061-T6 Aluminum,99.9,6.0,2,TiAlN,0.025,5.8,417.62,18000.0,0.1373,0.75,5.01,4941.8,Dry,0.0,18.573,74.0,72.96,18.162,0.941,0.5,0.573,21.077,68.09,10.0651,9.032
CNC Turning,AISI 1045 Steel,225.4,75.99,1,TiAlN,0.122,4.0,226.68,949.5,0.0828,0.86,0.08,78.6,Dry,0.0,16.126,193.2,353.82,0.769,0.163,0.5,1.578,3.196,11.89,1.5904,1.644
CNC Turning,AISI 1045 Steel,211.6,100.61,1,TiAlN,0.047,-0.3,270.62,856.2,0.2611,2.25,0.26,223.5,Flood Coolant,33.71,159.294,212.6,1470.5,0.735,0.186,1.85,7.529,9.788,3.69,5.1569,0.54
CNC Turning,Ti-6Al-4V Titanium,333.6,45.93,1,TiAlN,0.241,4.1,102.55,710.7,0.2063,2.96,0.21,146.6,Cryogenic (LN2),5.57,62.72,232.6,3649.29,0.682,0.173,1.35,7.306,9.503,9.09,5.2626,1.398
CNC Milling,AISI 304 Stainless Steel,197.2,32.0,5,TiAlN,0.157,2.2,113.79,1131.9,0.1898,2.94,22.44,1073.9,Flood Coolant,33.75,70.826,236.0,2321.05,0.838,0.322,1.85,5.127,9.17,7.77,4.8852,1.15
CNC Milling,Inconel 718 Superalloy,377.9,20.0,4,TiAlN,0.169,-0.7,100.96,1606.9,0.1825,2.38,11.9,1172.8,Dry,0.0,33.251,544.3,2242.15,1.03,0.338,0.5,4.456,6.528,11.78,3.1834,1.596
CNC Milling,Ti-6Al-4V Titanium,308.4,12.0,3,TiCN,0.109,-2.9,138.65,3677.8,0.219,3.69,5.81,2416.8,Flood Coolant,20.83,51.82,252.7,1264.1,2.067,0.537,1.85,3.304,7.28,8.43,3.9777,1.279
CNC Turning,Inconel 718 Superalloy,394.3,99.91,1,TiAlN,0.285,9.4,82.54,263.0,0.3433,3.15,0.34,90.3,Flood Coolant,32.29,89.251,527.3,4800.0,0.532,0.164,1.85,7.864,10.023,6.74,5.3198,0.993
CNC Turning,AISI 1045 Steel,209.7,62.31,1,Uncoated Carbide,0.068,9.0,234.05,1195.6,0.1677,2.35,0.17,200.5,Flood Coolant,15.91,92.27,171.5,1182.27,0.863,0.182,1.85,5.289,8.233,5.35,4.4219,0.799
CNC Turning,Al 6061-T6 Aluminum,93.9,46.73,1,TiAlN,0.043,0.6,345.85,2356.0,0.3603,1.06,0.36,848.9,Dry,0.0,132.495,151.5,452.56,1.368,0.286,0.5,3.095,5.155,2.33,2.5053,0.315
